,title,area,numberOfRooms,price,town,district
2756,VOX DAN BATIŞEHİR SATILIK 2.5+1 YATIRIMLIK GÜNCEL DAİRE,136,2.5+1,3.650.000,BağcılarGöztepe Mh,.
2757,BAĞCILAR ÇINAR MAHALLESİNDE SATILIK KREDİYE UYGUN DAİRE,105,2+1,1.500.000,BağcılarÇınar Mh,.
2758,BAĞCILAR SANCAKTEPE MAHALLESİNDE SATILIK DAİRE,135,3+1,930.000,BağcılarSancaktepe Mah,.
2759,ATABAY EMLAK'TAN İSTANBUL PANORAMA EVLERİ'NDE 2+1 SATILIK DAİRE,119,2+1,3.150.000,BağcılarMerkez Mah,.
2760,KOÇ EMLAK İNŞAAT D.KAPI MH SATILIK GİRİŞ 2+1.470BİN TL..,90,2+1,470.000,DemirkapıDemirkapı Mh,.
2761,MAHMUTBEY METROYA YÜRÜME MESAFESİNDE SİTEDE LÜX 3+1 DAİRE,125,3+1,2.100.000,DemirkapıDemirkapı Mh,.
2762,GRANİT GAYRİMENKUL'DEN 2+1 MÜSTAKİL BAHÇELİ BAHÇE KATI DAİRE,120,2+1,430.000,BağcılarÇınar Mh,.
2763,Mahmutbey satılık 3+1 daire,148,3+1,3.000.000,,
2764,YUVAM GAYRİMENKUL'DEN ÇINAR MAH 2+1 90 M2 GİRİŞ KATI DAİRE,90,2+1,530.000,BağcılarÇınar Mh,.
2765,Satılık 2+1 Bahçeli Bahçe Kat Daire 14m2 Yüksek Giriş Dükkan,120,3+1,600.000,BağcılarGöztepe Mh,.
2766,ERPAY'DAN SATILIK SIFIR 3+2 160M2 LÜX DUBLEX DAİRE,160,3+2,1.650.000,KirazlıKirazlı Mh,.
2767,GÖKTUĞ EMLAKTAN KOCASİNAN DA SATILIK 1.2.3.KATLAR,100,2+1,1.400.000,HürriyetHürriyet Mh,.
2768,BAĞCILAR MERKEZDE SATILIK 2+1 DAİRE,105,2+1,840.000,KirazlıKirazlı Mh,.
2769,BATIŞEHİRDE VATANDAŞLIĞA UYGUN 2+1 BAHÇE KULANIMLI SATILIK DAİRE,144,2.5+1,5.200.000,BağcılarGöztepe Mh,.
2770,Fevziçakmak mah enn gözde yerinde satılık3+1 daire,150,3+1,485.000,BağcılarFevzi Çakmak Mh,.
2771,Bağcılar Site İçi Bakımlı Havuz Cephe Satılık 3+1 Daire,137,3+1,3.225.000,BağcılarFevzi Çakmak Mh,.
2772,FATİH MAHALLESİNDE KAT MÜLKİYETLİ 116m² 3+1 ARAKAT KREDİLİ,116,3+1,970.000,KemalpaşaFatih Mah,.
2773,Krediye Uygun İskanlı 2+1 Yeni Daire-Molla Gürani MetroYanı,90,2+1,1.170.000,Barbaros/YeşilbağKazım Karabekir Mh,.
2774,BAGCILAR KİRAZLI MAH MASRAFSIZ 65M2 1+1 YÜKSEK GİRİŞ 450 BİN TL,70,1+1,450.000,KirazlıKirazlı Mh,.
2775,YENİMAHALLEDE PROJEDEN SATILIK 2+1 - 3+1 VE DUBLEKS DAİRELER,87,2+1,850.000,KirazlıYenimahalle Mah,.
2776,15 TEMMUZ MAH. 3+2 DUBLEX DAİRE 180 m2 KAAN EMLAK'DAN,188,3+2,1.395.000,Güneşli15 Temmuz Mh,.
2777,Mahmutbeyde yeni sitede satılık 3 +1 daire,130,3+1,2.500.000,,
2778,Dubleks daire,195,4+1,1.930.000,BağcılarFevzi Çakmak Mh,.
2779,Geniş ferah masrafsız,145,3+1,890.000,Barbaros/YeşilbağBarbaros Mah,.
2780,KENTSEL DÖNÜŞÜM TESİSİ RAPORLU YATIRIM AMAÇLI DAİRE,115,3+1,2.000.000,HürriyetBağlar Mh,.
2781,SAHİBİNDEN iSKANLI SIFIR LÜX DAİRE,95,2+1,1.320.000,Bağcılar100. Yıl Mh,.
2782,(TERS DUBLEKS) 2 ADET AYRI GİRİŞLİ DAİRE METROYA 10 DK.(170 M2),170,4+2,1.100.000,BağcılarGöztepe Mh,.
2783,BAĞCILAR ATEŞTUĞLADA SATILIK SIFIR DAİRELER,90,2+1,1.250.000,DemirkapıDemirkapı Mh,.
2784,GÜNİSTAN SİTESİN DE 141 M2 3+1 SIFIR (TAPU MASRAFSIZ) DAİRE,141,3+1,3.550.000,HürriyetHürriyet Mh,.
2785,CEM ERGİN'DEN DİVAN RESİDANCE G PLUS'DA 21.KAT 1+1 SATILIK DAİRE,55,1+1,1.620.000,HürriyetBağlar Mh,.
2786,GÜNEŞLİ DE MERKEZİKİ KONUMDA LÜKS 2+1 SİTE İÇERİSİNDE,95,2+1,1.750.000,GüneşliGüneşli Mh,.
2787,CEKA'DAN FEVZİÇAKMAK MAH. 2+1 120 M2 TEMİZ MASRAFSIZ SATILIK,125,2+1,749.000,BağcılarFevzi Çakmak Mh,.
2788,MAHMUTBEY METROYA YÜRÜME MESAFESİNDE ŞEREFİYELİ 2+1,100,2+1,2.050.000,,
2789,Sahibinden Acil Satılık Babil Konaklarında 3+1 Daire,135,3+1,2.720.000,DemirkapıDemirkapı Mh,.
2790,Yeni mesken den sıfır 2 + 1 DAİRE,110,2+1,1.520.000,KirazlıKirazlı Mh,.
2791,SIFIR SİTE'de 3+1 115 m2 K.OTOPARKLI GÜVENLİK Ç.PARKI KAMELYALAR,115,3+1,2.075.000,DemirkapıDemirkapı Mh,.
2792,3+1 SATILIK LÜKS DAİRE 130 M²,130,3+1,1.550.000,Barbaros/YeşilbağKazım Karabekir Mh,.
2793,BAGCİLAR YAVUZSELİM MAH 2+1 MEYDANA YAKİN 5.KAT,105,2+1,650.000,Barbaros/YeşilbağYavuz Selim Mah,.
2794,SIFIR SİTE'de LÜX 2+1 90 m2 K.OTOPARKLI SAUNA FITNESS GÜVENLİK,90,2+1,1.500.000,,
2795,Batışehir'de 1+1 Şehir Manzaralı Full Eşyalı Satılık Daire,76,1+1,1.680.000,BağcılarGöztepe Mh,.
2796,ZENGİNOĞULLARI EMLAKTAN BAĞCILAR'DA 100 m2 SATILIK 2+1 DAİRE,100,2+1,615.000,BağcılarÇınar Mh,.
2797,HANÇER TÜYLÜ SİTESİNDE ÖNÜ AÇIK MANZARALI ÖN CEPHE EN ÜST KAT,90,2+1,1.015.000,BağcılarMerkez Mah,.
2798,ESTON KİRAZLI EVLER İÇİ FULL YAPILI 3+1 137 M2 BRUT SİTE İÇİ,137,3+1,2.910.000,KirazlıYenimahalle Mah,.
2799,BAĞCILAR DEMİRKAPI MAH. SATILIK 3+1 DAİRE,110,3+1,1.500.000,DemirkapıDemirkapı Mh,.
2800,ANKA EMLAK'TAN ARK RESİDENCE'DE 2+1 KAPALI MUTFAKLI DAİRE,125,2+1,2.300.000,Güneşli15 Temmuz Mh,.
2801,BATIŞEHİR SİTESİNDE KAPALI MUTFAK SATILIK 2+1 DAİRE,144,2+1,3.950.000,BağcılarGöztepe Mh,.
2802,ŞEHRİ BAĞCILAR DA LÜKS KONUT,135,3+1,3.600.000,DemirkapıDemirkapı Mh,.
2803,ÇINAR MH SATILIK İSKANLI OTOPARKLI YÜKSEK GİRİŞ BALKONLU DAİRE,100,2+1,974.000,BağcılarÇınar Mh,.
2804,EVA'DAN BAĞCILAR DA MEYDANA ÇOK YAKIN KELEPİR ACİLL SATILIK 2+1,80,2+1,400.000,Barbaros/YeşilbağYıldıztepe Mh,.
2805,BAĞCILAR KİRAZLI MAH SİTE DE SATILIK 2+1 DAİRE,110,2+1,900.000,KirazlıKirazlı Mh,.
2806,"SAHİBİNDEN, YENİ, MERKEZİ, ASANSÖRLÜ, BALKONLU, LÜX 3+1 DAİRE!!",130,3+1,2.000.000,BağcılarFevzi Çakmak Mh,.
2807,SATILIK KİRAZLI METRO YAKINI ULTRA LÜX 2+1 SİTEDE 5.KT DAİRE,100,2+1,1.820.000,KirazlıKirazlı Mh,.
2808,ERPAY'DAN SATILIK MERKEZİ KONUMDA 2+1 90M2 LÜX 2.KAT DAİRE,90,2+1,1.200.000,Barbaros/Yeşilbağİnönü Mh,.
2809,BASIN EKSPRESTE GÜL PROJEDE EKSPRESTE 22.KAT 2+1 SATILIK DAİRE,114,2+1,2.900.000,,
2810,KİRAZLI'DA 2+1 SİTE İÇİ DAİRE | شقة للبيع | واحد فروشی دو خوابه,135,2+1,2.000.000,KirazlıKirazlı Mh,.
2811,GÜNEŞLİ REFERANS 1+1 SATILIK EN ÜST KAT MANZARALI,58,1+1,1.475.000,GüneşliGüneşli Mh,.
2812,Hülya Emlak'tan Toya Next 2+1 Satılık,134,2+1,3.400.000,Güneşli15 Temmuz Mh,.
2813,Toya Next Basın Ekspress Akıllı Ev Satılık 2+1 Daire,119,2+1,3.500.000,Güneşli15 Temmuz Mh,.
2814,GÜNEŞLİ MEYDANA YAKIN SİTE İÇERSİNDE SATILIK 3+1 DAİRE,185,3+1,4.600.000,Güneşli15 Temmuz Mh,.
2815,YÜRÜYÜŞ YOLUNDA DAİRE,100,2+1,780.000,KirazlıYenimahalle Mah,.
2816,TOPRAK EMLAKTAN SATILIK DÜZ GİRİŞ KAT DAİRE,110,2+1,400.000,KemalpaşaFatih Mah,.
2817,"GÜNEŞLİ PARKGARDENYA SATILIK 3,5+1 BAHÇE KULLANIMLI ÖZEL DİZAYN",207,3+1,5.850.000,HürriyetBağlar Mh,.
2818,BAĞCILARDA SATILIK MUTFAĞI AYRI 1+1 İSKANLI DAİRE,75,1+1,420.000,Barbaros/YeşilbağYavuz Selim Mah,.
2819,Bağlar mh satılık tek daire üzerine ara kat 100m çift balkonlu,115,2+1,1.375.000,HürriyetBağlar Mh,.
2820,CRYSTAL 116 Residance 3+1 daireler Mahmutbey meydan projesi,145,3+1,3.250.000,BağcılarGöztepe Mh,.
2821,BAĞCILAR FEVZİ ÇAKMAK MAH.YARI BODRUM KAT 130m2SATILIK DAİRE,130,3+1,420.000,BağcılarFevzi Çakmak Mh,.
2822,İstanbul House'dan Sancaktepe'de 6+2 Sıfır Dubleks Daire.,180,6+2,3.200.000,BağcılarSancaktepe Mah,.
2823,Bağcılar Güneşli Hürriyet Mah. Satılık 3+2 Dubleks Daire,210,3+2,1.510.000,HürriyetHürriyet Mh,.
2824,KREDİLİ 3/1 DAİRE,135,3+1,1.500.000,DemirkapıDemirkapı Mh,.
2825,PROFİDEN SİTEDE GENİŞ 3+1.,126,3+1,3.490.000,GüneşliGüneşli Mh,.
2826,Suryapı Corridor 3+1 SATILIK For Citizenship 170M2,170,3+1,5.175.000,HürriyetBağlar Mh,.
2827,KA EMLAKTAN SATILIK DAİRE,130,3+1,1.350.000,BağcılarSancaktepe Mah,.
2828,BAĞCILAR YÜZYIL MAHALLESİNDE SATILIK BİNA 730M2 TAPUSU HAZIR,730,3+1,5.000.000,Bağcılar100. Yıl Mh,.
2829,Sahibinden Temiz 3+1 Daire 4. KAT,135,3+1,1.350.000,BağcılarÇınar Mh,.
2830,BAGCILAR YILDIZTEPE MAH CUMHURİYET PARK KOMŞU MASRAFSIZ 2+1,100,2+1,620.000,Barbaros/YeşilbağYıldıztepe Mh,.
2831,Güneşlipark'ta Satılık 2+1 Ful Eşyalı Daire,81,2+1,2.135.000,GüneşliGüneşli Mh,.
2832,ASPAVA DAN MAHMUTBEY DE SİTE İÇERSİNDE 3+1 143 M2 AÇIK CEPHE,143,3+1,3.146.000,,
2833,BAĞCILAR BABİL KONAKLARI 3+1 DAİRE 115 M2 SATILIK,115,3+1,3.150.000,DemirkapıDemirkapı Mh,.
2834,GÜNEŞLİ MAH. SATILIK 6+2 510 M2 TERASLI DAİRE ULTRA LÜKS SIFIR,510,6+2,6.000.000,GüneşliGüneşli Mh,.
2835,ACİLLL!! GOLD VİZYON'DAN HÜRRİYET MAHALLESİNDE 3+1 DUBLEKS DAİRE,150,3+1,1.600.000,HürriyetHürriyet Mh,.
2836,YENİMAHALLEDE PROJEDEN SATILIK 3+1 115 m2 ARAKAT DAİRELER,115,3+1,1.300.000,KirazlıYenimahalle Mah,.
2837,Mahmutbey Caddesi Üzerinde Satılık Karşılıklı 2 Adet 2+1 Daire,90,2+1,720.000,Barbaros/YeşilbağBarbaros Mah,.
2838,SAHİBİNDEN SATILIK 3+1 DAİRE,120,3+1,1.500.000,Barbaros/YeşilbağBarbaros Mah,.
2839,SAHİBİNDEN GENİŞ 2+1 DAİRE (METROYA-HASTANEYE 5 Dk),145,2+1,1.500.000,BağcılarÇınar Mh,.
2840,15 TEMMUZ MAH SUNFLAMİNGO EVLERİ SATILIK 2+1 DAİRE,136,2+1,3.200.000,Güneşli15 Temmuz Mh,.
2841,4+2 SIFIR DUBLEKS MAHMUTBEY METRO 1 DAKİKA YÜRÜME MESAFESİ,220,4+2,2.050.000,,
2842,SANCAKDORA EVLERİ otoparklı dubleks daire,200,6+2,3.200.000,BağcılarSancaktepe Mah,.
2843,BAĞCILAR ATEŞTUĞLADA SATILIK SIFIR DAİRELER,75,2+1,925.000,DemirkapıDemirkapı Mh,.
2844,YAVUZ EMLAK ÇINAR MH SATILIK OTO PARKLI DUBLEKS SATILIK 150 M2,150,4+1,1.550.000,BağcılarÇınar Mh,.
2845,mahmutbey merkezde sitede metroya yakın satılık 3+1daire,120,3+1,1.980.000,,
2846,BAĞCILAR KİRAZLI YÜRÜYÜŞ YOLUNDA SATILIK!! DAİRE!!,110,2+1,815.000,KirazlıKirazlı Mh,.
2847,satılık y.mah 3 kat 110m2 2+1 hisseli masrafsız daire,110,2+1,745.000,KirazlıYenimahalle Mah,.
2848,Sıfır lüx Sitede satılık 2+1 daire,80,2+1,1.460.000,DemirkapıDemirkapı Mh,.
2849,Sahibinden satılık,110,2+1,3.200.000,KirazlıYenimahalle Mah,.
2850,METRO DİBİNDE 5+2 DUBLEKS DAİRE,215,5+2,2.450.000,Bağcılar100. Yıl Mh,.
2851,ZENGİNOĞULLARI EMLAKTAN BAĞCILAR'DA 95 m2 SATILIK 2+1 DAİRE,95,2+1,670.000,BağcılarMerkez Mah,.
2852,GÜNİSTAN SİTESİN DE 150 M2 3+1 SIFIR (TAPU MASRAFSIZ) DAİRE,151,3+1,3.750.000,HürriyetHürriyet Mh,.
2853,ŞEHR-İ BAĞCILAR SİTESİNİN EN PRESTİJLİLERİNDEN BÜYÜK TİP LÜX 3+1,137,3+1,3.950.000,DemirkapıDemirkapı Mh,.
2854,3+1 Daire Emlak Ofisinden Çok Uygun Doğalgaz (Kombi) Merkeze 5 dk Uzaklıkta Acil!,116,3+1,700.000,HürriyetBağlar Mh,.
2855,ATEŞTUĞLA DA SATILIK DAİRELER 2+1 MASRAFSIZ,120,2+1,780.000,DemirkapıDemirkapı Mh,.
2856,GÖKSU PARK EVLERİNDE METRONUN YANI BAŞI GÖZTEPE NİN TEPESİNDE LÜ,116,3+1,2.100.000,BağcılarGöztepe Mh,.
2857,ĞÖNÜL EMLAKTAN 24.HİSSE SAHİB SATILIK DAİRE,80,2+1,510.000,Barbaros/YeşilbağYavuz Selim Mah,.
2858,ÜNPA EMLAKTAN YILDIZTEPE MAH.DE SATILIK 2+1 DAİRE,90,2+1,620.000,Barbaros/YeşilbağYıldıztepe Mh,.
2859,SULYAPIDAN EBEVEYN BANYOLU LÜX SİTE İÇERİNDE 3+1 MANZARALI DAİRE,108,3+1,2.295.000,DemirkapıDemirkapı Mh,.
2860,YILDIZTEPE'DE CADDEYE 50 METRE MESAFEDE 2+1 ARAKAT DAİRE.,87,2+1,640.000,Barbaros/YeşilbağYıldıztepe Mh,.
2861,"0,99 KONUT KREDİLİ SIFIR SİTE'de 3+1 115 m2 YÜKSEK KAT MANZARALI",115,3+1,2.285.000,DemirkapıDemirkapı Mh,.
2862,SATILIK DUBLEKS,220,4+1,1.930.000,BağcılarFevzi Çakmak Mh,.
2863,Sahibinden satılık daire 1+1 bahçe kat,100,1+1,505.000,GüneşliGüneşli Mh,.
2864,15 TEMMUZDA GÜLBAHAR CAD. NE YAKIN ÇİFT GİRİŞ DUBLEKS,205,5+2,2.500.000,Güneşli15 Temmuz Mh,.
2865,SABIR EMLAK KEMALPAŞA Mh. 75 M2 /1+1 KULLANIŞLI 1.KAT DAİRE,75,1+1,455.000,KemalpaşaKemalpaşa Mh,.
2866,REMAX GELİŞİMDEN PEROLA RESİDENCE SİTESİNDE 1+1 SATILIK DAİRE,64,1+1,1.420.000,Güneşli15 Temmuz Mh,.
2867,BAĞCILAR SANCAKTEPE MAH.3+1 170m2 SATILIK DAİRE,1.180,3.5+1,1.300.000,BağcılarSancaktepe Mah,.
2868,"Projeden, 1.20 Kredi Oranı İle Merkez'de, Site İçinde Fırsat 3+1",115,3+1,2.280.000,DemirkapıDemirkapı Mh,.
2869,bağcılar hürriyet mah satılık dubleks otopark mevcut 230m2,230,6+1,2.600.000,HürriyetHürriyet Mh,.
2870,MOTTO İSTANBULDA 2+1 SATILIK DAİRE,80,2+1,1.720.000,HürriyetBağlar Mh,.
2871,Sahibinden ŞEHR-İ BAHAR KONAKLARI'nda masrafsız 3+1,145,3+1,4.000.000,DemirkapıDemirkapı Mh,.
2872,REMAX GELİŞİMDEN CORELİVİNG SİTESİNDE 1+1 96 m2 SATILIK DAİRE,96,1+1,1.625.000,,
2873,DURMAZ EMLAK-BAĞCILAR BARBAROS MAH 3+1 KAT 1.125 M2 DAİRE,125,3+1,770.000,Barbaros/YeşilbağBarbaros Mah,.
2874,G YOO Residence Basınekspres Satılık 1+1lux eşyalı,62,1+1,1.950.000,,
2875,BAĞCILAR GÜNEŞLİ EVRENDE SATILIK MUHTELİF DAİRELER,120,3+2,850.000,Güneşli15 Temmuz Mh,.
2876,Batışehir de Yüksek Katta Eşyalı Satılık 2+1 Rezidence Daire,105,2+1,3.300.000,BağcılarGöztepe Mh,.
2877,ÖZGÜR İNŞAAT'TAN YÜZYIL MAH'DE 2+1 YÜKSEK 0 DAİRE KREDİYE UYGUN,81,2+1,895.000,Bağcılar100. Yıl Mh,.
2878,Batışehir H2 Blok (5 katlı) peyzaja bakan 3+1 eşyalı,167,3+1,5.750.000,BağcılarGöztepe Mh,.
2879,GÜNEŞLİ KONUTLARDA SATILIK 2+1 PEYZAJ MANZARALI DAİRE,126,2+1,2.750.000,HürriyetBağlar Mh,.
2880,ERPAY'DAN SATILIK YILDIZTEPE MH'DE 3+1 110M2 2. KAT DAİRE,110,3+1,700.000,Barbaros/YeşilbağYıldıztepe Mh,.
2881,BAĞCILAR KİRAZLI MAH SATILIK SİTEDE 3+1 DAİRE,120,3+1,975.000,KirazlıKirazlı Mh,.
2882,CEKADAN İNÖNÜ MAH. 5.KAT MASRAFSIZ HİSSELİ 2+1 90 M2,95,2+1,620.000,Barbaros/Yeşilbağİnönü Mh,.
2883,Bağcılar Merkez Mah.3+1 Asansörlü Ferah Kredili Daire,120,3+1,1.060.000,BağcılarMerkez Mah,.
2884,HALKALI CADDESİNDE İKİNCİ BİNA ORTA KAT 2+1 100 M KIREDİLİ,100,2+1,1.050.000,,
2885,CEKADAN METRO YANINDA KREDİYE UYGUN 2+1 BALKONLU YÜKSEK GİRİŞ,90,2+1,919.000,KirazlıKirazlı Mh,.
2886,BAĞCILAR ÇINAR MAH.2+1 95m2 SATILIK DAİRE,95,2+1,460.000,BağcılarÇınar Mh,.
2887,bağcılar/yenimahalle satılık sıfır dübleks daire 1.450000 tl,150,3+2,1.450.000,KirazlıYenimahalle Mah,.
2888,BAĞCILAR YAVUZSELİM MAHALLESİNDE SATILIK 150M2 DUBLEKS,160,3+2,1.200.000,Barbaros/YeşilbağYavuz Selim Mah,.
2889,YENİ MAHALLE METRO YANINDA LÜX SİTE İÇİ DAİRE BİLGİ İÇİN İRTİBAT,130,2+1,2.200.000,KirazlıYenimahalle Mah,.
2890,Bağcılar İnönü Mh.Satılık 3+1 Daire 12yş 2.Kat Geniş Masrafsz,140,3+1,1.400.000,Barbaros/Yeşilbağİnönü Mh,.
2891,3 YILLIK BİNADA 1 KAT AMERİKAN MUTFAK SATILIK 2+1 DAİRE,85,2+1,900.000,Bağcılar100. Yıl Mh,.
2892,DUO'DAN VE GÜNEŞLİ RESIDENCE 100m2 2+1 BAHÇE CEPHE SATILIK,100,2+1,2.875.000,HürriyetBağlar Mh,.
2893,15 TEMMUZ MAH KAAN EMLAKDAN DUBLEX 3+2 ASANSÖRLÜ TEK DAİRE ÜZERİ,155,3+2,1.875.000,Güneşli15 Temmuz Mh,.
2894,İSTANBUL PANORAMA EVLERİ SİTESİNDE SATILIK 2+1 SATILIK DAİRE,119,2+1,3.500.000,BağcılarMerkez Mah,.
2895,ERPAY'DAN SATILIK 2+1 85M2 %22 HİSSELİ DÜZ GİRİŞ DAİRE,85,2+1,720.000,Barbaros/YeşilbağYavuz Selim Mah,.
2896,BARBAROSTA SATILIK KAÇAK KATI OLMAYAN MASRAFSIZ BAHÇE KATI DAİRE,95,2+1,460.000,Barbaros/YeşilbağBarbaros Mah,.
2897,BAĞCILAR FEVZİ ÇAKMAK MAH.2+1 95m2 SATILIK DAİRE,80,2+1,420.000,BağcılarFevzi Çakmak Mh,.
2898,TOYA NEXT PROJESİNDE SIFIR 1+1 74m2 SATILIK DAİRE,74,1+1,2.300.000,Güneşli15 Temmuz Mh,.
2899,SATILIK DAİRE 2+1 KULLANIŞLI 100M²,120,2+1,650.000,KemalpaşaFatih Mah,.
2900,15 Temmuz Mah. Satılık Daire *Ara kat*2+1 Krediye Uygun,70,2+1,798.000,Güneşli15 Temmuz Mh,.
2901,Fatih Mahallesin'de Çift Balkonlu Masrafsız Daire,95,2+1,640.000,KemalpaşaFatih Mah,.
2902,İst Bağcılar15 tem mah satılıkY.Giriş daire 3+1+110m2 860.000 tl,110,3+1,860.000,Güneşli15 Temmuz Mh,.
2903,İstanbul House'dan Sancaktepe'de 100m2 Geniş Sıfır 3+1 Daire.,100,3+1,2.150.000,BağcılarSancaktepe Mah,.
2904,TORUNLAR EMLAKTAN SATILIK GÜNEY CEPHE Y. SELİM MAH 3+1 DAİRE,120,3+1,610.000,Barbaros/YeşilbağYavuz Selim Mah,.
2905,KİRAZLI METROYA YÜRÜME MESAFESİNDE SATILIK 3+1 ÇATI KATI,140,3+1,600.000,Barbaros/YeşilbağKazım Karabekir Mh,.
2906,"Sahibinden çift hisseli teraslı, geniş 2+1 daire",110,2+1,850.000,Barbaros/YeşilbağYavuz Selim Mah,.
2907,ERPAY'DAN SATILIK TERTEMİZ 2+1 85M2 5.KAT DAİRE,85,2+1,585.000,Barbaros/YeşilbağKazım Karabekir Mh,.
2908,KA EMLAKTAN SATILIK DAİRELER,150,3+1,2.200.000,,
2909,TORUNLAR EMLAKTAN SATILIK 3+1 5.KAT DAİRE KİRAZLI MAH.,110,3+1,650.000,KirazlıKirazlı Mh,.
2910,Güneşli Turkuaz Evleri Satılık 3+1 Lüks Daire,125,3+1,2.650.000,GüneşliGüneşli Mh,.
2911,Güneşlipark'ta Satılık 1+1 Ful Eşyalı Daire,73,1+1,1.800.000,GüneşliGüneşli Mh,.
2912,!! VOX DAN BATIŞEHİRDE GÜNCEL KUPON SATILIK 1+0 STÜDYO DAİRE !!,39,Stüdyo,(1+0),BağcılarGöztepe Mh,.
2913,BAĞCILAR 15 TEMMUZ MAHALLESİNDE 3+1 DUBLEX SATILIK DAİRE,140,3+1,1.200.000,Güneşli15 Temmuz Mh,.
2914,YENİMAHALLEDE PROJEDEN SATILIK 2+1 YÜKSEK GİRİŞ SIFIR DAİRE,87,2+1,975.000,KirazlıYenimahalle Mah,.
2915,RE/MAX YILDIZ'DAN BATIŞEHİR'DE 4.5+1 SATILIK DAİRE,210,4.5+1,6.000.000,BağcılarGöztepe Mh,.
2916,Metroya 5 dakika mesafede,95,2+1,1.330.000,BağcılarGöztepe Mh,.
2917,yeni tadilatli metroya yakin 1+1 sahibinden,90,1+1,470.000,Barbaros/YeşilbağKazım Karabekir Mh,.
2918,BAĞCILAR MERKEZ SATILIK DAİRE KAT 3 KÖŞE DAİRE AYLE APARTMANI,90,2+1,950.000,BağcılarMerkez Mah,.
2919,OĞUZBEY GAYRİMENKULDEN ACİL SATILIK DUBLEX,190,5+2,3.250.000,Güneşli15 Temmuz Mh,.
2920,SANCAKDORA EVLERİ 3+1 otoparklı,120,3+1,1.500.000,BağcılarSancaktepe Mah,.
2921,BAĞCILAR 100 YIL MH METRO YAKINI 110 M2 KAT 3 SATILIK 3+1 DAİRE,110,3+1,750.000,Bağcılar100. Yıl Mh,.
2922,BAĞCILAR MEYDANA YÜRÜME MESAFEDESİNDE 3+2 160m2 DUBLEKS DAİRE,180,3+2,2.500.000,Barbaros/Yeşilbağİnönü Mh,.
2923,15 Temmuz Mah. Site İçinde Satılık 2+1 1.Kat Daire,95,2+1,885.000,Güneşli15 Temmuz Mh,.
2924,Bağcılar Kemalpaşa Mah. Satılık 2+1 Yatırıma Uygun Yüksek Giriş,95,2+1,535.000,KemalpaşaKemalpaşa Mh,.
2925,MERKEZİ LOKASYONDA 3+2 160M² DUBLEKS DAİRE,180,3+2,1.600.000,KirazlıYenimahalle Mah,.
2926,SATILIK 5+2 DUBLEX - İKİ AYRI DAİRE,260,5+2,1.890.000,KemalpaşaKemalpaşa Mh,.
2927,satılık 2 artı bir daire,120,2+1,605.000,BağcılarÇınar Mh,.
2928,GENİŞ AİLEYE UYGUN BÜYÜK DAİRE,180,4+2,1.120.000,BağcılarMerkez Mah,.
2929,FIRSAT - G PLUS RESİDENCE EŞYALI SATILIK 1+1 ARAKAT,60,1+1,1.615.000,HürriyetBağlar Mh,.
2930,satılık kirazlı mh bahçe katı 80m2 2+1 balkonlu hisseli daire,85,2+1,405.000,KirazlıKirazlı Mh,.
2931,GRANİT GAYRİMENKUL'DEN 2+1 ARA KAT 90 M2 MASRAFSIZ DAİRE,100,2+1,615.000,BağcılarÇınar Mh,.
2932,BAĞCILAR ÇINAR MAH TABYA İŞIKLARININ YANIN..,180,3+2,1.585.000,BağcılarÇınar Mh,.
2933,Bağcılar Yüzyıl kışla caddesi 2136 sok no :1 deki daire,78,2+1,959.000,Bağcılar100. Yıl Mh,.
2934,Nurolpark Sitesinde Emsalsiz Satılık 1+1 Bahçe Katı Daire,85,1+1,1.850.000,Güneşli15 Temmuz Mh,.
2935,DAPHNE'den Ginza Güneşli Aile Residence Teras Bahçeli 3+ 1 Daire,151,3+1,2.800.000,HürriyetBağlar Mh,.
2936,sahibinden yarı bodrum daire,70,2+1,500.000,Güneşli15 Temmuz Mh,.
2937,"BAĞCILAR BATIŞEHİR BOŞ REZİDANS 4,5+1 BAHÇE DUBLEKSİ SATILIK",340,4.5+1,6.000.000,BağcılarGöztepe Mh,.
2938,Nurol Park Güneşli Satılık 3+1 Daire Peyzaj Manzaralı,160,3+1,4.150.000,Güneşli15 Temmuz Mh,.
2939,SİTE İÇERİSİNDE BUTİK BİTME AŞAMASINDA OLAN SİTEDE SATILIK DAİRE,105,2+1,1.560.000,DemirkapıDemirkapı Mh,.
2940,YATIRIMLIK KELEPİR BAHÇE KATI,75,2+1,615.000,DemirkapıDemirkapı Mh,.
2941,NUROL PARK SATILIK BAHÇE KATI 120m2 2+1 AÇIK MUTFAK HAVUZ CEPHE,120,2+1,3.999.999,Güneşli15 Temmuz Mh,.
2942,Göztepe Meydanda Satılık 3+3 220m2 Bağımsız Krediye Uygun Dublex,220,5+1,1.975.000,DemirkapıDemirkapı Mh,.
2943,SATILIK DUBLEK 3+1 sıfır son Daire,130,3+1,1.200.000,KemalpaşaFatih Mah,.
2944,BAĞCILAR SANCAKTEPE'DE SIFIR 3+1LÜX 130m2 DUBLEX DAİRE,140,3+1,1.550.000,BağcılarSancaktepe Mah,.
2945,Kirazlı Mahallesin'de Satılık 2+1 Daire OTOPARKLI,108,2+1,1.259.000,KirazlıKirazlı Mh,.
2946,Mahmutbey Metrosuna Yakın ULTRA LÜX 2+1 Satılık Daire,100,2+1,1.780.000,DemirkapıDemirkapı Mh,.
